"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-10",50000,"DP-CNN",3,1e-05,37584,35,0.110473497379941,0.0559081781700105,0.75168,5.95703125,550570,2.30288185392107,0.0942071916508583,2.30229735374451,0.0971
"CIFAR-10",50000,"DP-CNN",3,1e-05,41152,450,3.04362181265506,6.02328298554011,0.82304,21.015625,550570,2.00682280744825,0.329271520531074,2.00370240211487,0.3376
"CIFAR-10",50000,"DP-CNN",3,1e-05,10432,390,3.23813779648385,0.940783886679391,0.20864,12.3828125,550570,1.55900891780853,0.559426054638337,1.59448581933975,0.5566
"CIFAR-10",50000,"DP-CNN",5,1e-05,29600,130,4.57448748241326,2.36315351151521,0.592,7.275390625,550570,1.63277336529323,0.482131035001758,1.66806250810623,0.4754
"CIFAR-10",50000,"DP-CNN",5,1e-05,38448,385,2.78417413987262,4.275307281554,0.76896,12.44140625,550570,1.73321926593781,0.525466222280676,1.73612934350967,0.528
"CIFAR-10",50000,"DP-CNN",5,1e-05,35632,125,7.52299066988066,4.8676788023126,0.71264,7.138671875,550570,2.65752264431545,0.311921584297583,2.6724603176117,0.3269
"CIFAR-10",50000,"DP-CNN",5,1e-05,1008,165,5.94064161435075,0.421386120203412,0.02016,1.77978515625,550570,1.73316689014435,0.492545387284614,1.71344267129898,0.492704643841007
"CIFAR-10",50000,"DP-CNN",5,1e-05,47824,360,1.50999854739167,0.188672684384788,0.95648,12.03125,550570,1.71650515611355,0.398434864787445,1.69794881343842,0.4063
"CIFAR-10",50000,"DP-CNN",5,1e-05,29584,215,5.25779646622359,0.379660943334959,0.59168,9.326171875,550570,1.49470528534481,0.549537479441518,1.52861881256104,0.5454
"CIFAR-10",50000,"DP-CNN",5,1e-05,35952,130,3.94463519603,6.73453755972289,0.71904,7.275390625,550570,3.38385261808123,0.258399272993987,2.89582848548889,0.2871
"CIFAR-10",50000,"DP-CNN",5,1e-05,35536,80,3.39425730904952,9.07222669308744,0.71072,5.7421875,550570,6.46943804195949,0.165122806890031,6.77326726913452,0.2161
"CIFAR-10",50000,"DP-CNN",5,1e-05,34624,415,0.0879926658731803,3.50871767138444,0.69248,12.9296875,550570,1.64870527812413,0.420518155280419,1.62485820055008,0.4314
"CIFAR-10",50000,"DP-CNN",5,1e-05,13872,325,2.9022016356847,5.20421371392858,0.27744,8.115234375,550570,1.80329264700413,0.406463086065871,1.84038645029068,0.4163
"CIFAR-10",50000,"DP-CNN",5,1e-05,20336,180,7.73437613735981,3.94096031951488,0.40672,6.9921875,550570,2.12847409248352,0.34717481695385,2.03649592399597,0.3704
"CIFAR-10",50000,"DP-CNN",5,1e-05,39024,320,1.44682401434872,0.671513235889605,0.78048,11.34765625,550570,1.55451231343406,0.513267762596137,1.56234627962112,0.5121
"CIFAR-10",50000,"DP-CNN",5,1e-05,1808,365,9.52314043643603,4.47277611676918,0.03616,3.3154296875,550570,11.955326965877,0.127938490508019,11.6743043263753,0.138088371954235
"CIFAR-10",50000,"DP-CNN",5,1e-05,9328,350,2.7805692199265,7.3047776771764,0.18656,6.89453125,550570,2.11355384190877,0.309523519843266,2.11382222175598,0.3133
"CIFAR-10",50000,"DP-CNN",5,1e-05,16816,460,7.89258020410191,8.06266500232891,0.33632,11.11328125,550570,5.55429242451986,0.15053662165723,7.23193693161011,0.1748
"CIFAR-10",50000,"DP-CNN",5,1e-05,23920,285,1.88910827037462,2.62187055480888,0.4784,8.76953125,550570,1.09119946647573,0.704052407285377,1.28431689739228,0.6649
"CIFAR-10",50000,"DP-CNN",5,1e-05,21824,255,4.19744277367613,7.86781099477769,0.43648,8.30078125,550570,2.26965934435527,0.292318427704751,2.23551261425018,0.3057
"CIFAR-10",50000,"DP-CNN",5,1e-05,960,105,2.68845246915032,6.00014381942459,0.0192,1.44775390625,550570,2.52413440650364,0.201374698876465,2.51814214388529,0.203559027777778
"CIFAR-10",50000,"DP-CNN",5,1e-05,20560,80,1.32382548424783,9.81039519290861,0.4112,4.7265625,550570,1.67274987697601,0.424181866590893,1.67004805803299,0.4252
"CIFAR-10",50000,"DP-CNN",5,1e-05,16144,330,7.2582705721527,0.640440813050408,0.32288,8.18359375,550570,1.41921914475305,0.665581487680695,1.58239161968231,0.6443
"CIFAR-10",50000,"DP-CNN",5,1e-05,39760,65,9.43344025261853,3.1236787648506,0.7952,5.1953125,550570,3.88715759345463,0.234770200966521,4.08259677886963,0.2484
"CIFAR-10",50000,"DP-CNN",5,1e-05,23072,475,6.43635028169653,4.06210960105629,0.46144,11.2890625,550570,2.19469925562541,0.288259843168955,2.16684567928314,0.2961
"CIFAR-10",50000,"DP-CNN",5,1e-05,35776,80,2.9007999866063,4.8774597400792,0.71552,5.7421875,550570,2.21103913443429,0.284234912209599,2.17280817031861,0.3045
"CIFAR-10",50000,"DP-CNN",5,1e-05,46160,305,6.53221750709773,0.198423829450567,0.9232,11.09375,550570,1.58633488416672,0.540657721828825,1.56718701124191,0.542
